id,date_created,time_created,content_type,content,user_sent,user_received,viewed
1,10/29/2020,16:02,Message,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,571,405,0
2,12/30/2020,8:08,Story,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,253,731,0
3,10/12/2021,16:34,Story,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,637,922,0
4,12/24/2020,1:40,Story,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,102,108,0
5,4/5/2021,5:46,Story,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris,842,910,1
6,12/14/2020,23:20,Message,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at,397,205,1
7,9/25/2021,17:51,Message,curabitur gravida nisi at nibh in hac habitasse platea dictumst,825,492,1
8,3/12/2021,13:47,Story,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,298,458,0
9,2/20/2021,15:18,Story,varius ut blandit non interdum in ante vestibulum ante ipsum primis,82,875,0
10,3/18/2021,4:55,Story,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,138,445,0
11,3/1/2021,19:06,Message,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,90,862,1
12,10/7/2021,10:12,Story,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,587,615,1
13,12/17/2020,11:02,Story,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,10,890,1
14,3/17/2021,19:10,Story,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,462,310,1
15,10/18/2021,7:17,Message,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur,531,618,1
16,10/1/2021,3:34,Message,duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,683,254,0
17,5/3/2021,0:06,Message,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,621,658,0
18,6/9/2021,12:14,Message,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,328,794,1
19,11/3/2020,11:06,Message,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,552,855,1
20,4/15/2021,15:44,Story,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,880,509,1
21,12/9/2020,23:45,Story,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,72,228,0
22,6/25/2021,9:32,Story,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,809,23,1
23,11/11/2020,14:18,Message,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,867,762,1
24,6/15/2021,5:35,Story,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,194,71,1
25,1/2/2021,16:03,Story,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,638,611,1
26,7/19/2021,8:42,Story,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,792,607,0
27,12/2/2020,13:17,Story,lorem vitae mattis nibh ligula nec sem duis aliquam convallis,824,385,1
28,3/21/2021,10:54,Message,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,870,756,0
29,12/13/2020,10:00,Message,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,359,15,1
30,11/29/2020,23:30,Message,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,422,102,0
31,7/6/2021,17:41,Story,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,923,83,0
